libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Activités financières et d'assurance,67233929.00,606.00,11,#9CCC65,"67,2 M€",606 aides
Activités immobilières,62420234.00,825.00,11,#FFCA28,"62,4 M€",825 aides
Transports et entreposage,56275951.00,372.00,11,#26C6DA,"56,3 M€",372 aides
Activités de services administratifs et de soutien,47295715.00,629.00,11,#FF7043,"47,3 M€",629 aides
Construction,36649564.00,877.00,11,#42A5F5,"36,6 M€",877 aides
Hébergement et restauration,31984461.00,1230.00,11,#26A69A,"32,0 M€",1 230 aides
Autres sections NAF,57751205.00,1436.00,11,#AAAAAA,"57,8 M€",1 436 aides
Industrie manufacturière,37033610.00,478.00,52,#AB47BC,"37,0 M€",478 aides
Commerce,31778814.00,904.00,52,#29B6F6,"31,8 M€",904 aides
Construction,8315155.00,435.00,52,#42A5F5,"8,3 M€",435 aides
Santé humaine et action sociale,7609731.00,143.00,52,#E53935,"7,6 M€",143 aides
Activités financières et d'assurance,7306451.00,229.00,52,#9CCC65,"7,3 M€",229 aides
"Activités spécialisées, scientifiques et techniques",6980663.00,389.00,52,#FFA726,"7,0 M€",389 aides
Hébergement et restauration,5492215.00,559.00,52,#26A69A,"5,5 M€",559 aides
Information et communication,4202508.00,85.00,52,#66BB6A,"4,2 M€",85 aides
Activités de services administratifs et de soutien,4090670.00,209.00,52,#FF7043,"4,1 M€",209 aides
Activités immobilières,4057290.00,354.00,52,#FFCA28,"4,1 M€",354 aides
Autres sections NAF,10001407.00,491.00,52,#AAAAAA,"10,0 M€",491 aides
Commerce,129707.00,10.00,06,#29B6F6,"0,1 M€",10 aides
Non connu,56640.00,6.00,06,#AAAAAA,"0,1 M€",6 aides
"Activités spécialisées, scientifiques et techniques",32875.00,3.00,06,#FFA726,"0,0 M€",3 aides
Activités immobilières,16009.00,3.00,06,#FFCA28,"0,0 M€",3 aides
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",0.00,0.00,06,#5C6BC0,"0,0 M€",0 aides
Construction,0.00,0.00,06,#42A5F5,"0,0 M€",0 aides
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",0.00,0.00,06,#7E57C2,"0,0 M€",0 aides
Transports et entreposage,0.00,0.00,06,#26C6DA,"0,0 M€",0 aides
Hébergement et restauration,0.00,0.00,06,#26A69A,"0,0 M€",0 aides
Information et communication,0.00,0.00,06,#66BB6A,"0,0 M€",0 aides
Autres sections NAF,0.00,0.00,06,#AAAAAA,"0,0 M€",0 aides
Commerce,7462294.00,212.00,04,#29B6F6,"7,5 M€",212 aides
Industrie manufacturière,2868504.00,68.00,04,#AB47BC,"2,9 M€",68 aides
Activités financières et d'assurance,2292656.00,31.00,04,#9CCC65,"2,3 M€",31 aides
"Activités spécialisées, scientifiques et techniques",1788420.00,58.00,04,#FFA726,"1,8 M€",58 aides
"Arts, spectacles et activités récréatives",1752438.00,7.00,04,#8E24AA,"1,8 M€",7 aides
Activités immobilières,1348619.00,73.00,04,#FFCA28,"1,3 M€",73 aides
Construction,1231266.00,57.00,04,#42A5F5,"1,2 M€",57 aides
Santé humaine et action sociale,1123089.00,27.00,04,#E53935,"1,1 M€",27 aides
Hébergement et restauration,812519.00,50.00,04,#26A69A,"0,8 M€",50 aides
Activités de services administratifs et de soutien,562592.00,33.00,04,#FF7043,"0,6 M€",33 aides
Autres sections NAF,1208315.00,80.00,04,#AAAAAA,"1,2 M€",80 aides
Industrie manufacturière,50228615.00,644.00,75,#AB47BC,"50,2 M€",644 aides
Commerce,42723430.00,1578.00,75,#29B6F6,"42,7 M€",1 578 aides
Construction,20413443.00,658.00,75,#42A5F5,"20,4 M€",658 aides
Santé humaine et action sociale,12175633.00,229.00,75,#E53935,"12,2 M€",229 aides
Hébergement et restauration,9440811.00,998.00,75,#26A69A,"9,4 M€",998 aides
"Activités spécialisées, scientifiques et techniques",9044866.00,565.00,75,#FFA726,"9,0 M€",565 aides
Information et communication,8430016.00,97.00,75,#66BB6A,"8,4 M€",97 aides
Activités financières et d'assurance,7523899.00,297.00,75,#9CCC65,"7,5 M€",297 aides
Transports et entreposage,7111074.00,180.00,75,#26C6DA,"7,1 M€",180 aides
Activités immobilières,7052381.00,595.00,75,#FFCA28,"7,1 M€",595 aides
Autres sections NAF,23887992.00,900.00,75,#AAAAAA,"23,9 M€",900 aides
Industrie manufacturière,32200110.00,292.00,27,#AB47BC,"32,2 M€",292 aides
Commerce,16674744.00,542.00,27,#29B6F6,"16,7 M€",542 aides
"Arts, spectacles et activités récréatives",4547127.00,47.00,27,#8E24AA,"4,5 M€",47 aides
Activités immobilières,3014178.00,208.00,27,#FFCA28,"3,0 M€",208 aides
