libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Construction,1441078.00,96.00,84,#42A5F5,"1,4 M€",96 aides
Hébergement et restauration,1050437.00,162.00,84,#26A69A,"1,1 M€",162 aides
"Activités spécialisées, scientifiques et techniques",647633.00,50.00,84,#FFA726,"0,6 M€",50 aides
Industrie manufacturière,619920.00,55.00,84,#AB47BC,"0,6 M€",55 aides
Transports et entreposage,480417.00,25.00,84,#26C6DA,"0,5 M€",25 aides
Activités immobilières,415489.00,49.00,84,#FFCA28,"0,4 M€",49 aides
Activités de services administratifs et de soutien,411421.00,27.00,84,#FF7043,"0,4 M€",27 aides
Activités financières et d'assurance,361943.00,26.00,84,#9CCC65,"0,4 M€",26 aides
"Agriculture, sylviculture et pêche",285005.00,9.00,84,#EF5350,"0,3 M€",9 aides
Autres sections NAF,862833.00,105.00,84,#AAAAAA,"0,9 M€",105 aides
Industrie manufacturière,11047382.00,95.00,01,#AB47BC,"11,0 M€",95 aides
Commerce,4090926.00,129.00,01,#29B6F6,"4,1 M€",129 aides
Hébergement et restauration,1542601.00,82.00,01,#26A69A,"1,5 M€",82 aides
Activités financières et d'assurance,1060784.00,21.00,01,#9CCC65,"1,1 M€",21 aides
Construction,1026236.00,64.00,01,#42A5F5,"1,0 M€",64 aides
Activités de services administratifs et de soutien,749669.00,21.00,01,#FF7043,"0,7 M€",21 aides
Transports et entreposage,585983.00,18.00,01,#26C6DA,"0,6 M€",18 aides
Activités immobilières,399433.00,38.00,01,#FFCA28,"0,4 M€",38 aides
Santé humaine et action sociale,349626.00,16.00,01,#E53935,"0,3 M€",16 aides
"Activités spécialisées, scientifiques et techniques",332385.00,31.00,01,#FFA726,"0,3 M€",31 aides
Autres sections NAF,641290.00,64.00,01,#AAAAAA,"0,6 M€",64 aides
Commerce,15955078.00,615.00,33,#29B6F6,"16,0 M€",615 aides
Construction,11811556.00,256.00,33,#42A5F5,"11,8 M€",256 aides
Industrie manufacturière,10124085.00,145.00,33,#AB47BC,"10,1 M€",145 aides
Information et communication,6921623.00,59.00,33,#66BB6A,"6,9 M€",59 aides
Hébergement et restauration,5099501.00,474.00,33,#26A69A,"5,1 M€",474 aides
Activités immobilières,4633589.00,268.00,33,#FFCA28,"4,6 M€",268 aides
"Agriculture, sylviculture et pêche",4172997.00,67.00,33,#EF5350,"4,2 M€",67 aides
"Activités spécialisées, scientifiques et techniques",2881461.00,285.00,33,#FFA726,"2,9 M€",285 aides
Transports et entreposage,2633255.00,71.00,33,#26C6DA,"2,6 M€",71 aides
Activités financières et d'assurance,2563901.00,119.00,33,#9CCC65,"2,6 M€",119 aides
Autres sections NAF,6493792.00,412.00,33,#AAAAAA,"6,5 M€",412 aides
Construction,7119188.00,27.00,02,#42A5F5,"7,1 M€",27 aides
Commerce,3278016.00,81.00,02,#29B6F6,"3,3 M€",81 aides
Industrie manufacturière,3175269.00,35.00,02,#AB47BC,"3,2 M€",35 aides
Santé humaine et action sociale,674458.00,12.00,02,#E53935,"0,7 M€",12 aides
Transports et entreposage,431747.00,14.00,02,#26C6DA,"0,4 M€",14 aides
Hébergement et restauration,357472.00,41.00,02,#26A69A,"0,4 M€",41 aides
"Agriculture, sylviculture et pêche",241069.00,5.00,02,#EF5350,"0,2 M€",5 aides
"Activités spécialisées, scientifiques et techniques",216921.00,16.00,02,#FFA726,"0,2 M€",16 aides
Activités de services administratifs et de soutien,206643.00,10.00,02,#FF7043,"0,2 M€",10 aides
Activités immobilières,127092.00,16.00,02,#FFCA28,"0,1 M€",16 aides
Autres sections NAF,225439.00,45.00,02,#AAAAAA,"0,2 M€",45 aides
Commerce,18996039.00,330.00,35,#29B6F6,"19,0 M€",330 aides
Construction,7405666.00,120.00,35,#42A5F5,"7,4 M€",120 aides
Industrie manufacturière,5638525.00,117.00,35,#AB47BC,"5,6 M€",117 aides
Hébergement et restauration,4882310.00,329.00,35,#26A69A,"4,9 M€",329 aides
Activités financières et d'assurance,3734584.00,94.00,35,#9CCC65,"3,7 M€",94 aides
"Activités spécialisées, scientifiques et techniques",3355335.00,162.00,35,#FFA726,"3,4 M€",162 aides
Santé humaine et action sociale,3218690.00,40.00,35,#E53935,"3,2 M€",40 aides
Transports et entreposage,2589714.00,42.00,35,#26C6DA,"2,6 M€",42 aides
Activités immobilières,2376364.00,97.00,35,#FFCA28,"2,4 M€",97 aides
Information et communication,2234530.00,40.00,35,#66BB6A,"2,2 M€",40 aides
Autres sections NAF,2350135.00,161.00,35,#AAAAAA,"2,4 M€",161 aides
Commerce,1174539.00,62.00,05,#29B6F6,"1,2 M€",62 aides
Hébergement et restauration,349063.00,58.00,05,#26A69A,"0,3 M€",58 aides
Construction,345338.00,22.00,05,#42A5F5,"0,3 M€",22 aides
Industrie manufacturière,237110.00,10.00,05,#AB47BC,"0,2 M€",10 aides
Santé humaine et action sociale,121522.00,9.00,05,#E53935,"0,1 M€",9 aides
"Arts, spectacles et activités récréatives",88724.00,9.00,05,#8E24AA,"0,1 M€",9 aides
Activités de services administratifs et de soutien,88269.00,9.00,05,#FF7043,"0,1 M€",9 aides
Activités immobilières,84012.00,19.00,05,#FFCA28,"0,1 M€",19 aides
Autres activités de services,60720.00,10.00,05,#5E35B1,"0,1 M€",10 aides
"Activités spécialisées, scientifiques et techniques",59835.00,13.00,05,#FFA726,"0,1 M€",13 aides
Autres sections NAF,80187.00,20.00,05,#AAAAAA,"0,1 M€",20 aides
Industrie manufacturière,5892131.00,62.00,22,#AB47BC,"5,9 M€",62 aides
Commerce,2795455.00,138.00,22,#29B6F6,"2,8 M€",138 aides
Construction,1780110.00,72.00,22,#42A5F5,"1,8 M€",72 aides
Hébergement et restauration,1188574.00,123.00,22,#26A69A,"1,2 M€",123 aides
"Arts, spectacles et activités récréatives",842725.00,18.00,22,#8E24AA,"0,8 M€",18 aides
Santé humaine et action sociale,768452.00,30.00,22,#E53935,"0,8 M€",30 aides
"Activités spécialisées, scientifiques et techniques",563798.00,34.00,22,#FFA726,"0,6 M€",34 aides
Activités financières et d'assurance,475040.00,25.00,22,#9CCC65,"0,5 M€",25 aides
Activités immobilières,188066.00,49.00,22,#FFCA28,"0,2 M€",49 aides
Information et communication,187070.00,6.00,22,#66BB6A,"0,2 M€",6 aides
Autres sections NAF,393233.00,51.00,22,#AAAAAA,"0,4 M€",51 aides
Industrie manufacturière,10168286.00,25.00,46,#AB47BC,"10,2 M€",25 aides
Commerce,1519313.00,66.00,46,#29B6F6,"1,5 M€",66 aides
"Arts, spectacles et activités récréatives",532778.00,5.00,46,#8E24AA,"0,5 M€",5 aides
"Activités spécialisées, scientifiques et techniques",205762.00,15.00,46,#FFA726,"0,2 M€",15 aides
Non connu,117752.00,7.00,46,#AAAAAA,"0,1 M€",7 aides
Transports et entreposage,108750.00,7.00,46,#26C6DA,"0,1 M€",7 aides
Hébergement et restauration,93537.00,37.00,46,#26A69A,"0,1 M€",37 aides
Activités de services administratifs et de soutien,80707.00,7.00,46,#FF7043,"0,1 M€",7 aides
Activités immobilières,44641.00,7.00,46,#FFCA28,"0,0 M€",7 aides
Construction,43739.00,9.00,46,#42A5F5,"0,0 M€",9 aides
Autres sections NAF,26621.00,14.00,46,#AAAAAA,"0,0 M€",14 aides
Industrie manufacturière,13428991.00,141.00,85,#AB47BC,"13,4 M€",141 aides
Commerce,7384767.00,244.00,85,#29B6F6,"7,4 M€",244 aides
Information et communication,2250912.00,14.00,85,#66BB6A,"2,3 M€",14 aides
Construction,1988873.00,135.00,85,#42A5F5,"2,0 M€",135 aides
"Arts, spectacles et activités récréatives",1571866.00,36.00,85,#8E24AA,"1,6 M€",36 aides
Hébergement et restauration,1379796.00,194.00,85,#26A69A,"1,4 M€",194 aides
Transports et entreposage,1247065.00,34.00,85,#26C6DA,"1,2 M€",34 aides
"Activités spécialisées, scientifiques et techniques",1102068.00,67.00,85,#FFA726,"1,1 M€",67 aides
Activités immobilières,956787.00,105.00,85,#FFCA28,"1,0 M€",105 aides
Santé humaine et action sociale,754954.00,36.00,85,#E53935,"0,8 M€",36 aides
Autres sections NAF,1977066.00,172.00,85,#AAAAAA,"2,0 M€",172 aides
Industrie manufacturière,7768842.00,65.00,79,#AB47BC,"7,8 M€",65 aides
Commerce,2594092.00,115.00,79,#29B6F6,"2,6 M€",115 aides
Non connu,1799798.00,5.00,79,#AAAAAA,"1,8 M€",5 aides
