libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Santé humaine et action sociale,9508334.00,173.00,10,#E53935,"9,5 M€",173 aides
"Arts, spectacles et activités récréatives",9027204.00,64.00,10,#8E24AA,"9,0 M€",64 aides
Autres sections NAF,27119473.00,402.00,10,#AAAAAA,"27,1 M€",402 aides
Industrie manufacturière,112603306.00,311.00,86,#AB47BC,"112,6 M€",311 aides
Commerce,109089420.00,729.00,86,#29B6F6,"109,1 M€",729 aides
Construction,52680812.00,455.00,86,#42A5F5,"52,7 M€",455 aides
"Activités spécialisées, scientifiques et techniques",49852506.00,234.00,86,#FFA726,"49,9 M€",234 aides
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",43689000.00,3.00,86,#7E57C2,"43,7 M€",3 aides
Hébergement et restauration,37687446.00,414.00,86,#26A69A,"37,7 M€",414 aides
Activités financières et d'assurance,16061080.00,46.00,86,#9CCC65,"16,1 M€",46 aides
Santé humaine et action sociale,10080285.00,224.00,86,#E53935,"10,1 M€",224 aides
Activités de services administratifs et de soutien,8098753.00,104.00,86,#FF7043,"8,1 M€",104 aides
Transports et entreposage,7306220.00,57.00,86,#26C6DA,"7,3 M€",57 aides
Autres sections NAF,33375069.00,565.00,86,#AAAAAA,"33,4 M€",565 aides
Commerce,224062651.00,1559.00,26,#29B6F6,"224,1 M€",1 559 aides
Industrie manufacturière,198444021.00,604.00,26,#AB47BC,"198,4 M€",604 aides
Construction,139418512.00,915.00,26,#42A5F5,"139,4 M€",915 aides
Activités financières et d'assurance,92998278.00,86.00,26,#9CCC65,"93,0 M€",86 aides
Hébergement et restauration,61517875.00,914.00,26,#26A69A,"61,5 M€",914 aides
"Activités spécialisées, scientifiques et techniques",41235374.00,443.00,26,#FFA726,"41,2 M€",443 aides
Transports et entreposage,36189754.00,142.00,26,#26C6DA,"36,2 M€",142 aides
"Agriculture, sylviculture et pêche",25163644.00,452.00,26,#EF5350,"25,2 M€",452 aides
Santé humaine et action sociale,17300907.00,393.00,26,#E53935,"17,3 M€",393 aides
Information et communication,12761165.00,89.00,26,#66BB6A,"12,8 M€",89 aides
Autres sections NAF,52217091.00,953.00,26,#AAAAAA,"52,2 M€",953 aides
Activités financières et d'assurance,101149700.00,35.00,53,#9CCC65,"101,1 M€",35 aides
Industrie manufacturière,93189303.00,221.00,53,#AB47BC,"93,2 M€",221 aides
Commerce,72171674.00,493.00,53,#29B6F6,"72,2 M€",493 aides
"Activités spécialisées, scientifiques et techniques",50376057.00,125.00,53,#FFA726,"50,4 M€",125 aides
Construction,40571095.00,318.00,53,#42A5F5,"40,6 M€",318 aides
Hébergement et restauration,19266633.00,266.00,53,#26A69A,"19,3 M€",266 aides
"Agriculture, sylviculture et pêche",11656480.00,95.00,53,#EF5350,"11,7 M€",95 aides
Transports et entreposage,9618300.00,38.00,53,#26C6DA,"9,6 M€",38 aides
Activités de services administratifs et de soutien,8419424.00,62.00,53,#FF7043,"8,4 M€",62 aides
Santé humaine et action sociale,6165160.00,118.00,53,#E53935,"6,2 M€",118 aides
Autres sections NAF,19620635.00,353.00,53,#AAAAAA,"19,6 M€",353 aides
Commerce,319881516.00,1865.00,64,#29B6F6,"319,9 M€",1 865 aides
Activités financières et d'assurance,196735070.00,140.00,64,#9CCC65,"196,7 M€",140 aides
Industrie manufacturière,148414646.00,630.00,64,#AB47BC,"148,4 M€",630 aides
Construction,114788305.00,922.00,64,#42A5F5,"114,8 M€",922 aides
Hébergement et restauration,114056567.00,1304.00,64,#26A69A,"114,1 M€",1 304 aides
"Activités spécialisées, scientifiques et techniques",61701603.00,665.00,64,#FFA726,"61,7 M€",665 aides
Santé humaine et action sociale,38599616.00,616.00,64,#E53935,"38,6 M€",616 aides
Activités de services administratifs et de soutien,34259715.00,252.00,64,#FF7043,"34,3 M€",252 aides
Transports et entreposage,23137994.00,183.00,64,#26C6DA,"23,1 M€",183 aides
"Arts, spectacles et activités récréatives",18083853.00,198.00,64,#8E24AA,"18,1 M€",198 aides
Autres sections NAF,76727674.00,1385.00,64,#AAAAAA,"76,7 M€",1 385 aides
