libelle_section_naf,montant,nombre,nombre_siren,dep,color,montant_fr,nombre_fr,nombre_siren_fr
Activités de services administratifs et de soutien,1891113.00,1153,382,47,#FF7043,"1,9 M€",1 153 aides,382 entreprises
Enseignement,1603961.00,1126,303,47,#00897B,"1,6 M€",1 126 aides,303 entreprises
Autres sections NAF,4251281.00,2491,916,47,#AAAAAA,"4,3 M€",2 491 aides,916 entreprises
Hébergement et restauration,5255516.00,2063,508,48,#26A69A,"5,3 M€",2 063 aides,508 entreprises
"Agriculture, sylviculture et pêche",2001091.00,1445,604,48,#EF5350,"2,0 M€",1 445 aides,604 entreprises
Commerce,1811868.00,931,337,48,#29B6F6,"1,8 M€",931 aides,337 entreprises
Construction,972727.00,673,329,48,#42A5F5,"1,0 M€",673 aides,329 entreprises
Autres activités de services,1037289.00,626,184,48,#5E35B1,"1,0 M€",626 aides,184 entreprises
Santé humaine et action sociale,508604.00,380,169,48,#E53935,"0,5 M€",380 aides,169 entreprises
"Arts, spectacles et activités récréatives",542377.00,333,79,48,#8E24AA,"0,5 M€",333 aides,79 entreprises
Industrie manufacturière,507459.00,317,132,48,#AB47BC,"0,5 M€",317 aides,132 entreprises
"Activités spécialisées, scientifiques et techniques",542999.00,292,118,48,#FFA726,"0,5 M€",292 aides,118 entreprises
Enseignement,354396.00,267,78,48,#00897B,"0,4 M€",267 aides,78 entreprises
Autres sections NAF,875114.00,496,175,48,#AAAAAA,"0,9 M€",496 aides,175 entreprises
Commerce,16746684.00,8212,2801,49,#29B6F6,"16,7 M€",8 212 aides,2 801 entreprises
Hébergement et restauration,21275460.73,8067,1851,49,#26A69A,"21,3 M€",8 067 aides,1 851 entreprises
Autres activités de services,12316302.00,6847,2080,49,#5E35B1,"12,3 M€",6 847 aides,2 080 entreprises
"Activités spécialisées, scientifiques et techniques",8233370.09,4579,1577,49,#FFA726,"8,2 M€",4 579 aides,1 577 entreprises
Construction,6525132.00,4393,2126,49,#42A5F5,"6,5 M€",4 393 aides,2 126 entreprises
Santé humaine et action sociale,5257443.00,4043,1902,49,#E53935,"5,3 M€",4 043 aides,1 902 entreprises
"Arts, spectacles et activités récréatives",7180624.00,4017,935,49,#8E24AA,"7,2 M€",4 017 aides,935 entreprises
Enseignement,3881588.00,2522,735,49,#00897B,"3,9 M€",2 522 aides,735 entreprises
Industrie manufacturière,3233167.00,2288,865,49,#AB47BC,"3,2 M€",2 288 aides,865 entreprises
Activités de services administratifs et de soutien,3604490.00,2043,677,49,#FF7043,"3,6 M€",2 043 aides,677 entreprises
Autres sections NAF,10029909.00,5718,2024,49,#AAAAAA,"10,0 M€",5 718 aides,2 024 entreprises
Hébergement et restauration,16366968.53,6398,1547,50,#26A69A,"16,4 M€",6 398 aides,1 547 entreprises
Commerce,13137687.00,6183,2106,50,#29B6F6,"13,1 M€",6 183 aides,2 106 entreprises
Autres activités de services,7371969.00,4054,1227,50,#5E35B1,"7,4 M€",4 054 aides,1 227 entreprises
"Arts, spectacles et activités récréatives",4018344.07,2365,515,50,#8E24AA,"4,0 M€",2 365 aides,515 entreprises
Construction,3157281.00,2134,1097,50,#42A5F5,"3,2 M€",2 134 aides,1 097 entreprises
"Activités spécialisées, scientifiques et techniques",3719302.79,1960,670,50,#FFA726,"3,7 M€",1 960 aides,670 entreprises
Santé humaine et action sociale,2302942.00,1742,811,50,#E53935,"2,3 M€",1 742 aides,811 entreprises
Industrie manufacturière,1904756.00,1303,523,50,#AB47BC,"1,9 M€",1 303 aides,523 entreprises
Enseignement,2022716.00,1237,339,50,#00897B,"2,0 M€",1 237 aides,339 entreprises
Activités de services administratifs et de soutien,1865301.00,1147,358,50,#FF7043,"1,9 M€",1 147 aides,358 entreprises
Autres sections NAF,5074675.46,3083,1065,50,#AAAAAA,"5,1 M€",3 083 aides,1 065 entreprises
"Agriculture, sylviculture et pêche",35072947.00,8282,5176,51,#EF5350,"35,1 M€",8 282 aides,5 176 entreprises
Commerce,12998966.00,6371,2144,51,#29B6F6,"13,0 M€",6 371 aides,2 144 entreprises
Hébergement et restauration,14694228.67,5212,1207,51,#26A69A,"14,7 M€",5 212 aides,1 207 entreprises
Autres activités de services,8218326.00,4784,1441,51,#5E35B1,"8,2 M€",4 784 aides,1 441 entreprises
Construction,5010658.00,3391,1462,51,#42A5F5,"5,0 M€",3 391 aides,1 462 entreprises
"Activités spécialisées, scientifiques et techniques",5632997.00,3012,1030,51,#FFA726,"5,6 M€",3 012 aides,1 030 entreprises
"Arts, spectacles et activités récréatives",4203853.00,2418,525,51,#8E24AA,"4,2 M€",2 418 aides,525 entreprises
Santé humaine et action sociale,3306161.00,2397,1114,51,#E53935,"3,3 M€",2 397 aides,1 114 entreprises
Transports et entreposage,3406431.00,1898,451,51,#26C6DA,"3,4 M€",1 898 aides,451 entreprises
Enseignement,2581460.00,1609,444,51,#00897B,"2,6 M€",1 609 aides,444 entreprises
Autres sections NAF,8143618.00,4646,1675,51,#AAAAAA,"8,1 M€",4 646 aides,1 675 entreprises
Commerce,3745406.85,2007,659,52,#29B6F6,"3,7 M€",2 007 aides,659 entreprises
Autres activités de services,2548772.00,1488,441,52,#5E35B1,"2,5 M€",1 488 aides,441 entreprises
Hébergement et restauration,3731879.00,1486,342,52,#26A69A,"3,7 M€",1 486 aides,342 entreprises
Construction,1315907.00,898,427,52,#42A5F5,"1,3 M€",898 aides,427 entreprises
"Arts, spectacles et activités récréatives",1013562.00,728,146,52,#8E24AA,"1,0 M€",728 aides,146 entreprises
"Activités spécialisées, scientifiques et techniques",983966.00,551,186,52,#FFA726,"1,0 M€",551 aides,186 entreprises
Santé humaine et action sociale,566954.00,418,193,52,#E53935,"0,6 M€",418 aides,193 entreprises
Industrie manufacturière,544265.00,376,147,52,#AB47BC,"0,5 M€",376 aides,147 entreprises
Enseignement,594852.00,358,102,52,#00897B,"0,6 M€",358 aides,102 entreprises
"Agriculture, sylviculture et pêche",493783.00,305,154,52,#EF5350,"0,5 M€",305 aides,154 entreprises
Autres sections NAF,956586.00,568,210,52,#AAAAAA,"1,0 M€",568 aides,210 entreprises
Commerce,6221546.00,3076,1050,53,#29B6F6,"6,2 M€",3 076 aides,1 050 entreprises
Hébergement et restauration,6988273.00,2916,670,53,#26A69A,"7,0 M€",2 916 aides,670 entreprises
Autres activités de services,4567383.00,2480,708,53,#5E35B1,"4,6 M€",2 480 aides,708 entreprises
Construction,2112715.00,1448,730,53,#42A5F5,"2,1 M€",1 448 aides,730 entreprises
"Arts, spectacles et activités récréatives",2136746.81,1274,311,53,#8E24AA,"2,1 M€",1 274 aides,311 entreprises
"Activités spécialisées, scientifiques et techniques",2059821.00,1100,397,53,#FFA726,"2,1 M€",1 100 aides,397 entreprises
Santé humaine et action sociale,1308812.00,984,446,53,#E53935,"1,3 M€",984 aides,446 entreprises
Enseignement,1292478.00,730,216,53,#00897B,"1,3 M€",730 aides,216 entreprises
Industrie manufacturière,1003860.00,652,256,53,#AB47BC,"1,0 M€",652 aides,256 entreprises
"Agriculture, sylviculture et pêche",827798.00,533,231,53,#EF5350,"0,8 M€",533 aides,231 entreprises
Autres sections NAF,2955662.00,1727,594,53,#AAAAAA,"3,0 M€",1 727 aides,594 entreprises
Commerce,14712793.00,7579,2494,54,#29B6F6,"14,7 M€",7 579 aides,2 494 entreprises
Hébergement et restauration,16136372.39,5936,1394,54,#26A69A,"16,1 M€",5 936 aides,1 394 entreprises
Autres activités de services,9776963.00,5612,1697,54,#5E35B1,"9,8 M€",5 612 aides,1 697 entreprises
Construction,6433619.00,4275,1901,54,#42A5F5,"6,4 M€",4 275 aides,1 901 entreprises
"Activités spécialisées, scientifiques et techniques",5712720.33,3401,1153,54,#FFA726,"5,7 M€",3 401 aides,1 153 entreprises
"Arts, spectacles et activités récréatives",4830868.00,3014,647,54,#8E24AA,"4,8 M€",3 014 aides,647 entreprises
Santé humaine et action sociale,3990855.00,2915,1390,54,#E53935,"4,0 M€",2 915 aides,1 390 entreprises
Transports et entreposage,4072983.00,2533,642,54,#26C6DA,"4,1 M€",2 533 aides,642 entreprises
Enseignement,3459734.00,2157,621,54,#00897B,"3,5 M€",2 157 aides,621 entreprises
Industrie manufacturière,2383039.25,1595,572,54,#AB47BC,"2,4 M€",1 595 aides,572 entreprises
Autres sections NAF,6371477.00,3905,1387,54,#AAAAAA,"6,4 M€",3 905 aides,1 387 entreprises
Commerce,3303545.00,1672,572,55,#29B6F6,"3,3 M€",1 672 aides,572 entreprises
Hébergement et restauration,3919429.00,1663,371,55,#26A69A,"3,9 M€",1 663 aides,371 entreprises
Autres activités de services,2425498.00,1551,453,55,#5E35B1,"2,4 M€",1 551 aides,453 entreprises
Construction,1311692.00,898,431,55,#42A5F5,"1,3 M€",898 aides,431 entreprises
"Arts, spectacles et activités récréatives",966183.00,619,128,55,#8E24AA,"1,0 M€",619 aides,128 entreprises
Santé humaine et action sociale,708275.00,515,248,55,#E53935,"0,7 M€",515 aides,248 entreprises
Industrie manufacturière,749337.00,510,194,55,#AB47BC,"0,7 M€",510 aides,194 entreprises
"Activités spécialisées, scientifiques et techniques",782000.00,474,157,55,#FFA726,"0,8 M€",474 aides,157 entreprises
Enseignement,536653.00,318,91,55,#00897B,"0,5 M€",318 aides,91 entreprises
Activités de services administratifs et de soutien,542598.00,302,111,55,#FF7043,"0,5 M€",302 aides,111 entreprises
Autres sections NAF,1159965.00,736,275,55,#AAAAAA,"1,2 M€",736 aides,275 entreprises
Hébergement et restauration,31034420.18,11410,2754,56,#26A69A,"31,0 M€",11 410 aides,2 754 entreprises
Commerce,19913492.00,9432,3178,56,#29B6F6,"19,9 M€",9 432 aides,3 178 entreprises
Autres activités de services,11799258.00,6700,2047,56,#5E35B1,"11,8 M€",6 700 aides,2 047 entreprises
"Activités spécialisées, scientifiques et techniques",8669455.00,4707,1671,56,#FFA726,"8,7 M€",4 707 aides,1 671 entreprises
Santé humaine et action sociale,6183321.00,4676,2134,56,#E53935,"6,2 M€",4 676 aides,2 134 entreprises
Construction,6286282.00,4240,2174,56,#42A5F5,"6,3 M€",4 240 aides,2 174 entreprises
"Arts, spectacles et activités récréatives",6513884.05,4127,963,56,#8E24AA,"6,5 M€",4 127 aides,963 entreprises
Industrie manufacturière,4403079.00,3058,1128,56,#AB47BC,"4,4 M€",3 058 aides,1 128 entreprises
Enseignement,4352379.00,2813,786,56,#00897B,"4,4 M€",2 813 aides,786 entreprises
Activités de services administratifs et de soutien,3765176.00,2233,761,56,#FF7043,"3,8 M€",2 233 aides,761 entreprises
Autres sections NAF,8802840.00,5496,1971,56,#AAAAAA,"8,8 M€",5 496 aides,1 971 entreprises
Commerce,21271751.39,10748,3663,57,#29B6F6,"21,3 M€",10 748 aides,3 663 entreprises
Autres activités de services,15298089.00,9137,2703,57,#5E35B1,"15,3 M€",9 137 aides,2 703 entreprises
Hébergement et restauration,24036968.13,9054,2148,57,#26A69A,"24,0 M€",9 054 aides,2 148 entreprises
Construction,9176113.00,6035,2662,57,#42A5F5,"9,2 M€",6 035 aides,2 662 entreprises
"Activités spécialisées, scientifiques et techniques",7035882.54,4134,1434,57,#FFA726,"7,0 M€",4 134 aides,1 434 entreprises
Santé humaine et action sociale,5042020.00,3696,1762,57,#E53935,"5,0 M€",3 696 aides,1 762 entreprises
"Arts, spectacles et activités récréatives",5158206.00,3061,652,57,#8E24AA,"5,2 M€",3 061 aides,652 entreprises
Enseignement,3903295.00,2531,718,57,#00897B,"3,9 M€",2 531 aides,718 entreprises
Industrie manufacturière,3041942.00,2009,741,57,#AB47BC,"3,0 M€",2 009 aides,741 entreprises
Activités de services administratifs et de soutien,3254129.00,1847,618,57,#FF7043,"3,3 M€",1 847 aides,618 entreprises
Autres sections NAF,6532290.00,4043,1392,57,#AAAAAA,"6,5 M€",4 043 aides,1 392 entreprises
Hébergement et restauration,6225448.90,2671,642,58,#26A69A,"6,2 M€",2 671 aides,642 entreprises
Commerce,4006352.00,2071,710,58,#29B6F6,"4,0 M€",2 071 aides,710 entreprises
Autres activités de services,2976043.00,1677,504,58,#5E35B1,"3,0 M€",1 677 aides,504 entreprises
Construction,1709055.00,1171,554,58,#42A5F5,"1,7 M€",1 171 aides,554 entreprises
"Arts, spectacles et activités récréatives",1704713.92,1048,226,58,#8E24AA,"1,7 M€",1 048 aides,226 entreprises
"Activités spécialisées, scientifiques et techniques",1372787.00,788,265,58,#FFA726,"1,4 M€",788 aides,265 entreprises
Enseignement,902235.00,640,169,58,#00897B,"0,9 M€",640 aides,169 entreprises
Industrie manufacturière,833154.00,611,218,58,#AB47BC,"0,8 M€",611 aides,218 entreprises
Santé humaine et action sociale,803749.00,588,274,58,#E53935,"0,8 M€",588 aides,274 entreprises
"Agriculture, sylviculture et pêche",799753.00,530,254,58,#EF5350,"0,8 M€",530 aides,254 entreprises
Autres sections NAF,1817893.00,1118,408,58,#AAAAAA,"1,8 M€",1 118 aides,408 entreprises
Commerce,51183999.00,27058,8761,59,#29B6F6,"51,2 M€",27 058 aides,8 761 entreprises
Hébergement et restauration,70842091.83,25412,5579,59,#26A69A,"70,8 M€",25 412 aides,5 579 entreprises
Autres activités de services,31885445.68,19178,5696,59,#5E35B1,"31,9 M€",19 178 aides,5 696 entreprises
"Activités spécialisées, scientifiques et techniques",27468356.19,15668,5172,59,#FFA726,"27,5 M€",15 668 aides,5 172 entreprises
Santé humaine et action sociale,17746942.00,13060,6133,59,#E53935,"17,7 M€",13 060 aides,6 133 entreprises
Transports et entreposage,21709974.93,12395,2599,59,#26C6DA,"21,7 M€",12 395 aides,2 599 entreprises
Construction,17015031.00,11435,4965,59,#42A5F5,"17,0 M€",11 435 aides,4 965 entreprises
"Arts, spectacles et activités récréatives",18375787.07,10350,2233,59,#8E24AA,"18,4 M€",10 350 aides,2 233 entreprises
Enseignement,10184127.00,6607,1784,59,#00897B,"10,2 M€",6 607 aides,1 784 entreprises
Activités de services administratifs et de soutien,10320873.08,5692,1777,59,#FF7043,"10,3 M€",5 692 aides,1 777 entreprises
Autres sections NAF,21566231.10,13516,4740,59,#AAAAAA,"21,6 M€",13 516 aides,4 740 entreprises
Commerce,16047164.00,8095,2735,60,#29B6F6,"16,0 M€",8 095 aides,2 735 entreprises
Autres activités de services,10821800.00,6333,1892,60,#5E35B1,"10,8 M€",6 333 aides,1 892 entreprises
Hébergement et restauration,16274158.00,6222,1472,60,#26A69A,"16,3 M€",6 222 aides,1 472 entreprises
Transports et entreposage,10523469.85,5747,1139,60,#26C6DA,"10,5 M€",5 747 aides,1 139 entreprises
Construction,7343875.00,4804,2145,60,#42A5F5,"7,3 M€",4 804 aides,2 145 entreprises
"Activités spécialisées, scientifiques et techniques",6538314.00,3646,1213,60,#FFA726,"6,5 M€",3 646 aides,1 213 entreprises
"Arts, spectacles et activités récréatives",6029276.98,3257,721,60,#8E24AA,"6,0 M€",3 257 aides,721 entreprises
Santé humaine et action sociale,3424786.00,2577,1154,60,#E53935,"3,4 M€",2 577 aides,1 154 entreprises
Enseignement,4045299.17,2574,726,60,#00897B,"4,0 M€",2 574 aides,726 entreprises
Activités de services administratifs et de soutien,3483402.00,2071,661,60,#FF7043,"3,5 M€",2 071 aides,661 entreprises
Autres sections NAF,7491393.00,4553,1636,60,#AAAAAA,"7,5 M€",4 553 aides,1 636 entreprises
Hébergement et restauration,8101833.92,3414,774,61,#26A69A,"8,1 M€",3 414 aides,774 entreprises
Commerce,5980302.00,2941,1032,61,#29B6F6,"6,0 M€",2 941 aides,1 032 entreprises
Autres activités de services,3774132.00,2221,671,61,#5E35B1,"3,8 M€",2 221 aides,671 entreprises
Construction,2489203.00,1654,816,61,#42A5F5,"2,5 M€",1 654 aides,816 entreprises
"Arts, spectacles et activités récréatives",1916295.13,1140,274,61,#8E24AA,"1,9 M€",1 140 aides,274 entreprises
"Activités spécialisées, scientifiques et techniques",1547220.00,925,314,61,#FFA726,"1,5 M€",925 aides,314 entreprises
Santé humaine et action sociale,1116746.00,817,377,61,#E53935,"1,1 M€",817 aides,377 entreprises
Enseignement,1215173.00,766,216,61,#00897B,"1,2 M€",766 aides,216 entreprises
Industrie manufacturière,1018190.00,680,251,61,#AB47BC,"1,0 M€",680 aides,251 entreprises
"Agriculture, sylviculture et pêche",994371.00,637,264,61,#EF5350,"1,0 M€",637 aides,264 entreprises
Autres sections NAF,2401176.00,1556,523,61,#AAAAAA,"2,4 M€",1 556 aides,523 entreprises
Commerce,28770472.00,15397,5010,62,#29B6F6,"28,8 M€",15 397 aides,5 010 entreprises
Hébergement et restauration,33826868.83,12834,3024,62,#26A69A,"33,8 M€",12 834 aides,3 024 entreprises
Autres activités de services,18864264.93,12145,3617,62,#5E35B1,"18,9 M€",12 145 aides,3 617 entreprises
Construction,10265849.00,6942,3094,62,#42A5F5,"10,3 M€",6 942 aides,3 094 entreprises
"Activités spécialisées, scientifiques et techniques",10084315.72,5206,1718,62,#FFA726,"10,1 M€",5 206 aides,1 718 entreprises
Santé humaine et action sociale,6982607.00,5171,2506,62,#E53935,"7,0 M€",5 171 aides,2 506 entreprises
"Arts, spectacles et activités récréatives",7506086.88,4344,873,62,#8E24AA,"7,5 M€",4 344 aides,873 entreprises
Enseignement,4580502.65,2764,786,62,#00897B,"4,6 M€",2 764 aides,786 entreprises
Activités de services administratifs et de soutien,4289644.00,2677,862,62,#FF7043,"4,3 M€",2 677 aides,862 entreprises
Industrie manufacturière,3601210.00,2513,917,62,#AB47BC,"3,6 M€",2 513 aides,917 entreprises
Autres sections NAF,9794945.19,5975,1999,62,#AAAAAA,"9,8 M€",5 975 aides,1 999 entreprises
Hébergement et restauration,25089395.63,9678,2151,63,#26A69A,"25,1 M€",9 678 aides,2 151 entreprises
Commerce,17129474.00,8461,2797,63,#29B6F6,"17,1 M€",8 461 aides,2 797 entreprises
Autres activités de services,10286237.00,6213,1855,63,#5E35B1,"10,3 M€",6 213 aides,1 855 entreprises
Construction,8386572.00,5505,2396,63,#42A5F5,"8,4 M€",5 505 aides,2 396 entreprises
"Activités spécialisées, scientifiques et techniques",7410357.00,4125,1417,63,#FFA726,"7,4 M€",4 125 aides,1 417 entreprises
"Arts, spectacles et activités récréatives",6536866.66,3588,762,63,#8E24AA,"6,5 M€",3 588 aides,762 entreprises
Santé humaine et action sociale,4637815.60,3440,1580,63,#E53935,"4,6 M€",3 440 aides,1 580 entreprises
Enseignement,4115310.00,2934,774,63,#00897B,"4,1 M€",2 934 aides,774 entreprises
Industrie manufacturière,3501395.00,2371,846,63,#AB47BC,"3,5 M€",2 371 aides,846 entreprises
Transports et entreposage,3758517.00,2240,601,63,#26C6DA,"3,8 M€",2 240 aides,601 entreprises
Autres sections NAF,8663141.00,5363,1888,63,#AAAAAA,"8,7 M€",5 363 aides,1 888 entreprises
Commerce,21589964.00,10708,3599,64,#29B6F6,"21,6 M€",10 708 aides,3 599 entreprises
Hébergement et restauration,28404892.41,10322,2507,64,#26A69A,"28,4 M€",10 322 aides,2 507 entreprises
Autres activités de services,12675522.00,7780,2380,64,#5E35B1,"12,7 M€",7 780 aides,2 380 entreprises
"Activités spécialisées, scientifiques et techniques",12027102.56,7008,2390,64,#FFA726,"12,0 M€",7 008 aides,2 390 entreprises
Santé humaine et action sociale,8272938.00,6231,2833,64,#E53935,"8,3 M€",6 231 aides,2 833 entreprises
Construction,8754686.00,5979,2845,64,#42A5F5,"8,8 M€",5 979 aides,2 845 entreprises
"Arts, spectacles et activités récréatives",8678691.00,4963,1151,64,#8E24AA,"8,7 M€",4 963 aides,1 151 entreprises
Enseignement,6623687.00,4594,1253,64,#00897B,"6,6 M€",4 594 aides,1 253 entreprises
Industrie manufacturière,4663140.00,3020,1140,64,#AB47BC,"4,7 M€",3 020 aides,1 140 entreprises
Activités de services administratifs et de soutien,5313500.00,3007,936,64,#FF7043,"5,3 M€",3 007 aides,936 entreprises
Autres sections NAF,13482020.00,8206,2829,64,#AAAAAA,"13,5 M€",8 206 aides,2 829 entreprises
Hébergement et restauration,14999883.29,5359,1147,65,#26A69A,"15,0 M€",5 359 aides,1 147 entreprises
Commerce,10513881.34,4903,1382,65,#29B6F6,"10,5 M€",4 903 aides,1 382 entreprises
Autres activités de services,4112294.00,2584,760,65,#5E35B1,"4,1 M€",2 584 aides,760 entreprises
Construction,3405658.00,2367,1070,65,#42A5F5,"3,4 M€",2 367 aides,1 070 entreprises
Enseignement,3514728.00,2311,649,65,#00897B,"3,5 M€",2 311 aides,649 entreprises
"Arts, spectacles et activités récréatives",3103351.91,1800,395,65,#8E24AA,"3,1 M€",1 800 aides,395 entreprises
"Activités spécialisées, scientifiques et techniques",3171693.24,1596,508,65,#FFA726,"3,2 M€",1 596 aides,508 entreprises
Santé humaine et action sociale,1831395.00,1382,620,65,#E53935,"1,8 M€",1 382 aides,620 entreprises
Industrie manufacturière,1539697.00,968,354,65,#AB47BC,"1,5 M€",968 aides,354 entreprises
Activités de services administratifs et de soutien,1611731.00,900,284,65,#FF7043,"1,6 M€",900 aides,284 entreprises
Autres sections NAF,4204894.00,2628,854,65,#AAAAAA,"4,2 M€",2 628 aides,854 entreprises
Commerce,17882627.00,9444,2989,66,#29B6F6,"17,9 M€",9 444 aides,2 989 entreprises
Hébergement et restauration,23167086.11,8580,1985,66,#26A69A,"23,2 M€",8 580 aides,1 985 entreprises
Autres activités de services,8845151.00,5661,1668,66,#5E35B1,"8,8 M€",5 661 aides,1 668 entreprises
Construction,8355375.00,5652,2411,66,#42A5F5,"8,4 M€",5 652 aides,2 411 entreprises
"Activités spécialisées, scientifiques et techniques",7957963.00,4234,1412,66,#FFA726,"8,0 M€",4 234 aides,1 412 entreprises
Santé humaine et action sociale,4566465.00,3352,1550,66,#E53935,"4,6 M€",3 352 aides,1 550 entreprises
"Arts, spectacles et activités récréatives",5952977.61,3319,737,66,#8E24AA,"6,0 M€",3 319 aides,737 entreprises
Enseignement,4338181.62,2982,786,66,#00897B,"4,3 M€",2 982 aides,786 entreprises
Activités immobilières,4016014.00,2503,824,66,#FFCA28,"4,0 M€",2 503 aides,824 entreprises
Industrie manufacturière,3027583.01,2119,732,66,#AB47BC,"3,0 M€",2 119 aides,732 entreprises
Autres sections NAF,8739738.00,5457,1806,66,#AAAAAA,"8,7 M€",5 457 aides,1 806 entreprises
Commerce,27332307.19,13375,4528,67,#29B6F6,"27,3 M€",13 375 aides,4 528 entreprises
Hébergement et restauration,38289333.08,13000,3033,67,#26A69A,"38,3 M€",13 000 aides,3 033 entreprises
Autres activités de services,17881707.00,10026,2983,67,#5E35B1,"17,9 M€",10 026 aides,2 983 entreprises
"Activités spécialisées, scientifiques et techniques",14439937.58,8787,3055,67,#FFA726,"14,4 M€",8 787 aides,3 055 entreprises
Construction,11572016.00,7670,3388,67,#42A5F5,"11,6 M€",7 670 aides,3 388 entreprises
Santé humaine et action sociale,9547736.00,6938,3205,67,#E53935,"9,5 M€",6 938 aides,3 205 entreprises
"Arts, spectacles et activités récréatives",10505358.85,6262,1370,67,#8E24AA,"10,5 M€",6 262 aides,1 370 entreprises
Transports et entreposage,8558534.78,4926,1101,67,#26C6DA,"8,6 M€",4 926 aides,1 101 entreprises
Enseignement,5902453.00,4008,1108,67,#00897B,"5,9 M€",4 008 aides,1 108 entreprises
Activités de services administratifs et de soutien,6273591.00,3641,1093,67,#FF7043,"6,3 M€",3 641 aides,1 093 entreprises
Autres sections NAF,19735139.00,10842,4013,67,#AAAAAA,"19,7 M€",10 842 aides,4 013 entreprises
Commerce,19998433.00,9958,3355,68,#29B6F6,"20,0 M€",9 958 aides,3 355 entreprises
Hébergement et restauration,24497662.11,8585,2032,68,#26A69A,"24,5 M€",8 585 aides,2 032 entreprises
Autres activités de services,12667003.53,7119,2106,68,#5E35B1,"12,7 M€",7 119 aides,2 106 entreprises
Construction,6902995.00,4604,2064,68,#42A5F5,"6,9 M€",4 604 aides,2 064 entreprises
"Activités spécialisées, scientifiques et techniques",7104195.00,4266,1507,68,#FFA726,"7,1 M€",4 266 aides,1 507 entreprises
Santé humaine et action sociale,4481350.00,3363,1571,68,#E53935,"4,5 M€",3 363 aides,1 571 entreprises
"Arts, spectacles et activités récréatives",5037972.00,2882,633,68,#8E24AA,"5,0 M€",2 882 aides,633 entreprises
Enseignement,3734499.00,2506,712,68,#00897B,"3,7 M€",2 506 aides,712 entreprises
Activités de services administratifs et de soutien,3372479.00,2002,642,68,#FF7043,"3,4 M€",2 002 aides,642 entreprises
Industrie manufacturière,3132230.00,1984,732,68,#AB47BC,"3,1 M€",1 984 aides,732 entreprises
Autres sections NAF,8972293.00,4865,1687,68,#AAAAAA,"9,0 M€",4 865 aides,1 687 entreprises
Commerce,58130402.66,29294,9295,69,#29B6F6,"58,1 M€",29 294 aides,9 295 entreprises
"Activités spécialisées, scientifiques et techniques",43171569.00,25879,8625,69,#FFA726,"43,2 M€",25 879 aides,8 625 entreprises
Transports et entreposage,48598185.90,25824,5044,69,#26C6DA,"48,6 M€",25 824 aides,5 044 entreprises
Hébergement et restauration,70363309.28,24411,5371,69,#26A69A,"70,4 M€",24 411 aides,5 371 entreprises
Autres activités de services,31392648.00,17196,5053,69,#5E35B1,"31,4 M€",17 196 aides,5 053 entreprises
Construction,24292841.40,15563,6346,69,#42A5F5,"24,3 M€",15 563 aides,6 346 entreprises
"Arts, spectacles et activités récréatives",27223689.80,15387,3348,69,#8E24AA,"27,2 M€",15 387 aides,3 348 entreprises
Santé humaine et action sociale,20493946.00,15099,6713,69,#E53935,"20,5 M€",15 099 aides,6 713 entreprises
Activités de services administratifs et de soutien,19696291.00,11039,3109,69,#FF7043,"19,7 M€",11 039 aides,3 109 entreprises
Enseignement,15472165.00,10662,2859,69,#00897B,"15,5 M€",10 662 aides,2 859 entreprises
Autres sections NAF,37229318.00,22251,7514,69,#AAAAAA,"37,2 M€",22 251 aides,7 514 entreprises
Commerce,4921523.00,2730,956,70,#29B6F6,"4,9 M€",2 730 aides,956 entreprises
Hébergement et restauration,4924111.00,2173,481,70,#26A69A,"4,9 M€",2 173 aides,481 entreprises
Autres activités de services,3047555.00,1796,547,70,#5E35B1,"3,0 M€",1 796 aides,547 entreprises
Construction,2251566.00,1529,717,70,#42A5F5,"2,3 M€",1 529 aides,717 entreprises
"Activités spécialisées, scientifiques et techniques",1343209.00,720,266,70,#FFA726,"1,3 M€",720 aides,266 entreprises
"Arts, spectacles et activités récréatives",1146663.00,715,157,70,#8E24AA,"1,1 M€",715 aides,157 entreprises
Enseignement,975137.00,652,180,70,#00897B,"1,0 M€",652 aides,180 entreprises
Industrie manufacturière,917543.00,648,242,70,#AB47BC,"0,9 M€",648 aides,242 entreprises
Santé humaine et action sociale,797815.00,609,306,70,#E53935,"0,8 M€",609 aides,306 entreprises
Activités de services administratifs et de soutien,602846.00,392,155,70,#FF7043,"0,6 M€",392 aides,155 entreprises
Autres sections NAF,1579291.00,991,392,70,#AAAAAA,"1,6 M€",991 aides,392 entreprises
Hébergement et restauration,19643773.44,7687,1707,71,#26A69A,"19,6 M€",7 687 aides,1 707 entreprises
Commerce,14477372.00,7200,2448,71,#29B6F6,"14,5 M€",7 200 aides,2 448 entreprises
Autres activités de services,9192973.00,5112,1519,71,#5E35B1,"9,2 M€",5 112 aides,1 519 entreprises
Construction,4952510.00,3295,1587,71,#42A5F5,"5,0 M€",3 295 aides,1 587 entreprises
"Arts, spectacles et activités récréatives",4952004.00,2877,613,71,#8E24AA,"5,0 M€",2 877 aides,613 entreprises
"Activités spécialisées, scientifiques et techniques",4536336.90,2493,852,71,#FFA726,"4,5 M€",2 493 aides,852 entreprises
Santé humaine et action sociale,2944607.00,2256,1020,71,#E53935,"2,9 M€",2 256 aides,1 020 entreprises
Enseignement,2655500.00,1816,492,71,#00897B,"2,7 M€",1 816 aides,492 entreprises
