libelle_section_naf,montant,nombre,nombre_siren,dep,color,montant_fr,nombre_fr,nombre_siren_fr
Construction,3510426.00,2427,1109,87,#42A5F5,"3,5 M€",2 427 aides,1 109 entreprises
"Activités spécialisées, scientifiques et techniques",3064099.00,1743,599,87,#FFA726,"3,1 M€",1 743 aides,599 entreprises
"Arts, spectacles et activités récréatives",2633801.00,1613,347,87,#8E24AA,"2,6 M€",1 613 aides,347 entreprises
Santé humaine et action sociale,2039383.00,1481,688,87,#E53935,"2,0 M€",1 481 aides,688 entreprises
Industrie manufacturière,1886287.00,1346,457,87,#AB47BC,"1,9 M€",1 346 aides,457 entreprises
Enseignement,1736358.00,1188,320,87,#00897B,"1,7 M€",1 188 aides,320 entreprises
Activités de services administratifs et de soutien,1489532.00,1003,342,87,#FF7043,"1,5 M€",1 003 aides,342 entreprises
Autres sections NAF,4577407.00,2604,918,87,#AAAAAA,"4,6 M€",2 604 aides,918 entreprises
Commerce,10921154.00,5337,1770,88,#29B6F6,"10,9 M€",5 337 aides,1 770 entreprises
Hébergement et restauration,12806869.10,5145,1148,88,#26A69A,"12,8 M€",5 145 aides,1 148 entreprises
Autres activités de services,5899101.00,3624,1068,88,#5E35B1,"5,9 M€",3 624 aides,1 068 entreprises
Construction,4388844.00,2904,1320,88,#42A5F5,"4,4 M€",2 904 aides,1 320 entreprises
"Activités spécialisées, scientifiques et techniques",3110381.00,1757,605,88,#FFA726,"3,1 M€",1 757 aides,605 entreprises
"Arts, spectacles et activités récréatives",2653043.00,1742,346,88,#8E24AA,"2,7 M€",1 742 aides,346 entreprises
Industrie manufacturière,2154802.00,1433,551,88,#AB47BC,"2,2 M€",1 433 aides,551 entreprises
Enseignement,1890080.00,1273,345,88,#00897B,"1,9 M€",1 273 aides,345 entreprises
Santé humaine et action sociale,1702236.00,1262,574,88,#E53935,"1,7 M€",1 262 aides,574 entreprises
Activités de services administratifs et de soutien,1503773.00,923,343,88,#FF7043,"1,5 M€",923 aides,343 entreprises
Autres sections NAF,3693169.00,2366,843,88,#AAAAAA,"3,7 M€",2 366 aides,843 entreprises
Commerce,7433416.00,3829,1302,89,#29B6F6,"7,4 M€",3 829 aides,1 302 entreprises
Hébergement et restauration,9080758.05,3782,871,89,#26A69A,"9,1 M€",3 782 aides,871 entreprises
Autres activités de services,4483509.00,2673,794,89,#5E35B1,"4,5 M€",2 673 aides,794 entreprises
Construction,3142350.00,2179,1012,89,#42A5F5,"3,1 M€",2 179 aides,1 012 entreprises
"Arts, spectacles et activités récréatives",2899445.00,1783,373,89,#8E24AA,"2,9 M€",1 783 aides,373 entreprises
"Activités spécialisées, scientifiques et techniques",2252946.00,1351,479,89,#FFA726,"2,3 M€",1 351 aides,479 entreprises
Santé humaine et action sociale,1404637.00,1076,482,89,#E53935,"1,4 M€",1 076 aides,482 entreprises
Enseignement,1657547.00,1032,276,89,#00897B,"1,7 M€",1 032 aides,276 entreprises
Industrie manufacturière,1321395.00,947,352,89,#AB47BC,"1,3 M€",947 aides,352 entreprises
Activités de services administratifs et de soutien,1403208.00,845,283,89,#FF7043,"1,4 M€",845 aides,283 entreprises
Autres sections NAF,3859780.00,2287,809,89,#AAAAAA,"3,9 M€",2 287 aides,809 entreprises
Commerce,3034072.00,1477,523,90,#29B6F6,"3,0 M€",1 477 aides,523 entreprises
Hébergement et restauration,3496009.00,1340,314,90,#26A69A,"3,5 M€",1 340 aides,314 entreprises
Autres activités de services,2074882.00,1205,351,90,#5E35B1,"2,1 M€",1 205 aides,351 entreprises
Construction,1055149.00,725,344,90,#42A5F5,"1,1 M€",725 aides,344 entreprises
"Activités spécialisées, scientifiques et techniques",991739.00,594,220,90,#FFA726,"1,0 M€",594 aides,220 entreprises
Santé humaine et action sociale,694288.00,500,232,90,#E53935,"0,7 M€",500 aides,232 entreprises
"Arts, spectacles et activités récréatives",871887.00,472,100,90,#8E24AA,"0,9 M€",472 aides,100 entreprises
Enseignement,681127.00,424,111,90,#00897B,"0,7 M€",424 aides,111 entreprises
Industrie manufacturière,418625.00,276,107,90,#AB47BC,"0,4 M€",276 aides,107 entreprises
Activités de services administratifs et de soutien,487531.00,249,82,90,#FF7043,"0,5 M€",249 aides,82 entreprises
Autres sections NAF,1087368.00,651,223,90,#AAAAAA,"1,1 M€",651 aides,223 entreprises
Transports et entreposage,50688425.27,25972,4539,91,#26C6DA,"50,7 M€",25 972 aides,4 539 entreprises
Commerce,23488922.50,12301,4058,91,#29B6F6,"23,5 M€",12 301 aides,4 058 entreprises
Construction,13842914.00,8845,3634,91,#42A5F5,"13,8 M€",8 845 aides,3 634 entreprises
"Activités spécialisées, scientifiques et techniques",14423350.50,8701,2761,91,#FFA726,"14,4 M€",8 701 aides,2 761 entreprises
Autres activités de services,15063770.00,8361,2561,91,#5E35B1,"15,1 M€",8 361 aides,2 561 entreprises
Hébergement et restauration,22159736.91,8068,1843,91,#26A69A,"22,2 M€",8 068 aides,1 843 entreprises
"Arts, spectacles et activités récréatives",11231616.00,6134,1272,91,#8E24AA,"11,2 M€",6 134 aides,1 272 entreprises
Santé humaine et action sociale,7000179.00,5179,2348,91,#E53935,"7,0 M€",5 179 aides,2 348 entreprises
Activités de services administratifs et de soutien,8121591.00,4446,1226,91,#FF7043,"8,1 M€",4 446 aides,1 226 entreprises
Enseignement,6345503.00,4159,1114,91,#00897B,"6,3 M€",4 159 aides,1 114 entreprises
Autres sections NAF,14178745.86,8257,2765,91,#AAAAAA,"14,2 M€",8 257 aides,2 765 entreprises
Transports et entreposage,95729758.91,48001,8001,92,#26C6DA,"95,7 M€",48 001 aides,8 001 entreprises
"Activités spécialisées, scientifiques et techniques",50103613.62,28931,8619,92,#FFA726,"50,1 M€",28 931 aides,8 619 entreprises
Hébergement et restauration,53835531.28,17952,3787,92,#26A69A,"53,8 M€",17 952 aides,3 787 entreprises
Commerce,33974577.77,16489,4971,92,#29B6F6,"34,0 M€",16 489 aides,4 971 entreprises
"Arts, spectacles et activités récréatives",24141635.02,13447,2813,92,#8E24AA,"24,1 M€",13 447 aides,2 813 entreprises
Autres activités de services,21500036.44,10974,3137,92,#5E35B1,"21,5 M€",10 974 aides,3 137 entreprises
Information et communication,17771621.67,9514,2739,92,#66BB6A,"17,8 M€",9 514 aides,2 739 entreprises
Santé humaine et action sociale,12907146.00,9511,4131,92,#E53935,"12,9 M€",9 511 aides,4 131 entreprises
Activités de services administratifs et de soutien,19575851.00,9412,2122,92,#FF7043,"19,6 M€",9 412 aides,2 122 entreprises
Enseignement,12302585.90,8424,2134,92,#00897B,"12,3 M€",8 424 aides,2 134 entreprises
Autres sections NAF,29122956.00,16989,5888,92,#AAAAAA,"29,1 M€",16 989 aides,5 888 entreprises
Transports et entreposage,154093416.44,79182,13226,93,#26C6DA,"154,1 M€",79 182 aides,13 226 entreprises
Commerce,55102999.24,26254,7763,93,#29B6F6,"55,1 M€",26 254 aides,7 763 entreprises
Hébergement et restauration,43959503.19,16346,3256,93,#26A69A,"44,0 M€",16 346 aides,3 256 entreprises
"Activités spécialisées, scientifiques et techniques",27391801.00,16101,4706,93,#FFA726,"27,4 M€",16 101 aides,4 706 entreprises
Construction,22123595.00,13288,5073,93,#42A5F5,"22,1 M€",13 288 aides,5 073 entreprises
"Arts, spectacles et activités récréatives",22816727.00,13014,2738,93,#8E24AA,"22,8 M€",13 014 aides,2 738 entreprises
Autres activités de services,15179475.00,8126,2343,93,#5E35B1,"15,2 M€",8 126 aides,2 343 entreprises
Activités de services administratifs et de soutien,13863532.00,6994,1733,93,#FF7043,"13,9 M€",6 994 aides,1 733 entreprises
Information et communication,9803304.00,5484,1529,93,#66BB6A,"9,8 M€",5 484 aides,1 529 entreprises
Enseignement,8681685.00,5481,1401,93,#00897B,"8,7 M€",5 481 aides,1 401 entreprises
Autres sections NAF,18510091.00,11459,4153,93,#AAAAAA,"18,5 M€",11 459 aides,4 153 entreprises
Transports et entreposage,87393203.73,45571,7774,94,#26C6DA,"87,4 M€",45 571 aides,7 774 entreprises
"Activités spécialisées, scientifiques et techniques",28689338.00,17653,5284,94,#FFA726,"28,7 M€",17 653 aides,5 284 entreprises
Commerce,33165428.20,16694,5183,94,#29B6F6,"33,2 M€",16 694 aides,5 183 entreprises
Hébergement et restauration,37334947.06,13513,2820,94,#26A69A,"37,3 M€",13 513 aides,2 820 entreprises
"Arts, spectacles et activités récréatives",20219051.43,11753,2494,94,#8E24AA,"20,2 M€",11 753 aides,2 494 entreprises
Autres activités de services,17340907.05,9349,2695,94,#5E35B1,"17,3 M€",9 349 aides,2 695 entreprises
Construction,14685718.00,9155,3639,94,#42A5F5,"14,7 M€",9 155 aides,3 639 entreprises
Activités de services administratifs et de soutien,13117597.17,6897,1625,94,#FF7043,"13,1 M€",6 897 aides,1 625 entreprises
Santé humaine et action sociale,9055490.00,6616,2940,94,#E53935,"9,1 M€",6 616 aides,2 940 entreprises
Enseignement,8786410.00,5929,1537,94,#00897B,"8,8 M€",5 929 aides,1 537 entreprises
Autres sections NAF,20890077.59,11852,3647,94,#AAAAAA,"20,9 M€",11 852 aides,3 647 entreprises
Transports et entreposage,79873565.54,42371,6913,95,#26C6DA,"79,9 M€",42 371 aides,6 913 entreprises
Commerce,26569785.23,13542,4266,95,#29B6F6,"26,6 M€",13 542 aides,4 266 entreprises
Construction,15390175.00,9277,3727,95,#42A5F5,"15,4 M€",9 277 aides,3 727 entreprises
"Activités spécialisées, scientifiques et techniques",14977978.00,9044,2865,95,#FFA726,"15,0 M€",9 044 aides,2 865 entreprises
Hébergement et restauration,23435271.27,8547,1881,95,#26A69A,"23,4 M€",8 547 aides,1 881 entreprises
Autres activités de services,13989339.78,7576,2258,95,#5E35B1,"14,0 M€",7 576 aides,2 258 entreprises
"Arts, spectacles et activités récréatives",10068724.00,5495,1160,95,#8E24AA,"10,1 M€",5 495 aides,1 160 entreprises
Santé humaine et action sociale,6261533.00,4649,2113,95,#E53935,"6,3 M€",4 649 aides,2 113 entreprises
Enseignement,6692014.00,4297,1153,95,#00897B,"6,7 M€",4 297 aides,1 153 entreprises
Activités de services administratifs et de soutien,8035049.00,4279,1144,95,#FF7043,"8,0 M€",4 279 aides,1 144 entreprises
Autres sections NAF,15276984.00,8685,2871,95,#AAAAAA,"15,3 M€",8 685 aides,2 871 entreprises
Hébergement et restauration,20794115.95,11503,1971,971,#26A69A,"20,8 M€",11 503 aides,1 971 entreprises
